A	Coef.B - A	Coef.C - A	Coef.C - B	t.B - A	t.C - A	t.C - B	p.value.B - A	p.value.C - A	p.value.C - B	F	F.p.value	Res.B - A	Res.C - A	Res.C - B
5.63120815977595	0.747980875289842	1.13730499688563	0.389324121595791	3.781000362956	5.74901143608778	1.96801107313178	0.00346806080701808	0.000171439217915631	0.0768164713313642	17.0733879403036	0.000554390743538955	1	1	0
6.37525846224002	0.3687281574152	0.754986904754073	0.386258747338873	2.16981956682789	4.44279973115686	2.27298016432897	0.0546518939947397	0.0011881197690504	0.0458298294230685	9.87100841039654	0.00411340889882491	0	1	0
5.43984540024103	0.491739709559791	0.90489227165258	0.413152562092789	2.15665439547369	3.96864409595218	1.81198970047849	0.0558888552273118	0.00254514569114907	0.0994685206665485	7.89486693883073	0.00846994127579339	0	1	0
3.45005158058185	0.26668852071186	0.267342972848775	0.000654452136914951	1.23856807393059	1.24160751305056	0.00303943911996983	0.243233747438576	0.242155818688846	0.997633468284541	1.02521644280463	0.392884495805847	0	0	0
7.13515549786672	0.117395690785475	0.641568154025199	0.524172463239724	0.677549418036191	3.70281163202721	3.02526221399102	0.513122122311843	0.00395008501983385	0.0125005885994727	7.77403288651968	0.00888343061385662	0	1	1
5.64829420129661	-0.266464756412734	-1.08757995483513	-0.821115198422398	-1.6433288415507	-6.70727165323379	-5.06394281168309	0.130724824600665	4.81570356138061e-05	0.00045907857267441	24.4438465039143	0.000128183889204968	0	-1	-1
5.42399374541721	0.216267538371331	0.447169150787516	0.230901612416186	1.11704986548946	2.30968662010003	1.19263675461057	0.289577446797016	0.0430360687428645	0.25999941256052	2.66827837116904	0.116905697226291	0	0	0
5.79317511415706	0.136018268556053	0.26833482063425	0.132316552078197	0.775397168948576	1.52969202195349	0.754294853004912	0.455694364359281	0.15647435524242	0.4677176606012	1.17005305897044	0.348734435560427	0	0	0
5.47453900633205	0.371285700156633	0.0379517532915514	-0.333333946865081	1.94582542260108	0.198896661939394	-1.74692876066169	0.0797144914391327	0.846249746706614	0.110617303378596	2.29251885073276	0.150547966022691	0	0	0
5.77759308795831	0.154405922248689	0.212182077194004	0.0577761549453157	0.836029592861394	1.14885810741948	0.312828514558089	0.422278271687948	0.276824776239783	0.760709292538718	0.705560703548028	0.516405167125383	0	0	0
5.0858971154567	-0.06930066108416	0.148177299660182	0.217477960744342	-0.389036976267145	0.83183115008414	1.22086812635129	0.705241620705534	0.424537729558635	0.249588297416312	0.777937271031295	0.484781750402426	0	0	0
6.41101849334845	-0.113503338586713	-0.473905702547744	-0.360402363961031	-0.667607840835148	-2.7874348611839	-2.11982702034875	0.519192877911945	0.0188575265914322	0.0594929062010098	4.23638664356283	0.0457582854485371	0	-1	0
6.79768150543117	-1.27348942242921	-1.18792137447603	0.0855680479531795	-7.43666743530821	-6.93698435627449	0.49968307903372	1.97994532441082e-05	3.61494699477168e-05	0.627893680552816	34.5584858940144	2.85315771139636e-05	-1	-1	0
8.7567564127009	-1.19526371461841	-1.43182379917121	-0.236560084552801	-6.62832087206028	-7.94016203879247	-1.31184116673219	5.32264404941896e-05	1.11081334273324e-05	0.218311779190209	36.2339126773347	2.31005645037759e-05	-1	-1	0
6.24108436882602	-0.0985964967399839	-0.481168613565751	-0.382572116825767	-0.610610841156392	-2.97989058011116	-2.36927973895476	0.554809544218308	0.0135186072451804	0.0388491623429354	4.95535998339816	0.0313401632668762	0	-1	0
8.42501202923496	3.94992236374323	3.06381566549374	-0.886106698249488	13.8108101993682	10.7125590696131	-3.09825112975513	6.18728702351415e-08	7.0831497678799e-07	0.0110235470127197	105.03218674865	1.55478284587528e-07	1	1	-1
11.2233867541952	4.35043619226507	3.98528925355578	-0.365146938709286	19.1354479548511	17.5293445820519	-1.60610337279922	2.48976139299561e-09	5.94583705083297e-09	0.138712931368174	225.340952651081	3.59176387221871e-09	1	1	0
9.66752455516363	-0.949526999474569	-0.736893289743422	0.212633709731147	-4.3446646993084	-3.37173589047715	0.97292880883125	0.00138759511769828	0.00690246193067314	0.353081277103538	10.3971015772007	0.00344881887696588	-1	-1	0
7.97239180016435	-0.620537023126015	-0.270213093356383	0.350323929769632	-2.59445127132551	-1.12975483727891	1.46469643404661	0.0263391022654497	0.284429942637492	0.173114341517384	3.38428634518217	0.0745598191636922	0	0	0
7.41871601282525	2.27745954555804	2.00216150095469	-0.275298044603342	14.5075501711757	12.7538855662877	-1.75366460488805	3.82865838985327e-08	1.33858567634665e-07	0.109412356555315	125.401982851193	6.53945682358032e-08	1	1	0
6.73724890903679	-0.440197766873712	-0.924134373445654	-0.483936606571942	-2.97627292430217	-6.24827366489646	-3.27200074059429	0.013603311188702	8.71396386909779e-05	0.00818234621062189	19.5350377192742	0.000323977340992689	0	-1	-1
8.39743967631703	3.03254558514059	1.26233747966955	-1.77020810547104	10.8743635129856	4.52659860984624	-6.34776490313937	6.14742298993173e-07	0.00104174746196577	7.64510641455229e-05	59.6786653509142	2.33279280332391e-06	1	1	-1
10.0238420646065	1.40391740547849	0.673629322255019	-0.730288083223467	6.07550291048947	2.91515504543272	-3.16034786505676	0.000109713788353166	0.0151183775927373	0.00990744747532225	18.4658877274822	0.000406294681255134	1	1	-1
5.56256024603946	0.710561135805865	0.706619433709598	-0.00394170209626665	4.24395727440438	4.22041473254271	-0.0235425418616707	0.00162939159253945	0.00169207478283363	0.981671415768416	11.9412093709702	0.00212421307155231	1	1	0
