A	Coef.B - A	Coef.C - A	Coef.C - B	t.B - A	t.C - A	t.C - B	p.value.B - A	p.value.C - A	p.value.C - B	F	F.p.value	Res.B - A	Res.C - A	Res.C - B	Genes.gene	Genes.reflen
1.22128854395068	-0.144813388895303	0.938294544033468	1.08310793292877	-0.190436889858589	1.30938143620388	1.46114105045934	0.852564233699455	0.218071780365122	0.172972553623344	1.29506015998302	0.313902406661192	0	0	0	thrL.t01	66
7.3397046589755	-0.298187616153876	0.765635696534724	1.0638233126886	-0.715034879524518	2.27630160996057	2.6594325687353	0.490034187730369	0.0446645788721892	0.0228481893301922	4.24289513840868	0.0442899847013271	0	0	0	thrA.t01	2463
5.89623896393556	0.0870826175396919	0.99414969614857	0.907067078608878	0.193799153492675	2.51347190023133	2.18577294102256	0.849996263774664	0.0295259237489331	0.0522353347145678	3.70890868962104	0.0600975341551414	0	0	0	thrB.t01	933
6.15419846704699	-0.260299289461166	1.02738513623223	1.2876844256934	-0.501257317314282	2.39610614256377	2.70173242637961	0.626434448873171	0.0362576360448472	0.0212094567784942	4.42639482708493	0.0400370617661761	0	0	0	thrC.t01	1287
3.67388792067904	-0.168993687154532	1.28254744843542	1.45154113558995	-0.281686249105585	2.31246724430126	2.5204831455316	0.783606314182007	0.041945605638576	0.0291651093164201	3.9259593596972	0.0529729904102064	0	0	0	yaaX.t01	297
5.68149982040543	-0.571056538635875	0.796359151401877	1.36741569003775	-1.15149656173843	1.86640673781887	2.90407248589321	0.274835036809833	0.089863652264945	0.0148542340694137	4.41291209820443	0.0403325183460708	0	0	0	yaaA.t01	777
6.47766970780081	-0.0759478872778905	1.08041208654356	1.15635997382145	-0.151641815779513	2.63490315211675	2.54867976898307	0.88231647761701	0.0238554329405302	0.027757341676845	4.48087282506665	0.0388691441022315	0	0	0	yaaJ.t01	1431
9.9885826065799	-0.537037653214794	-0.577055931627424	-0.0400182784126297	-4.17292352893851	-4.48873863570436	-0.310235626413872	0.00168297691116755	0.00100591538492413	0.76239501974403	12.5527670283543	0.00160117292394659	-1	-1	0	talB.t01	954
5.9113605405706	-0.276884465461167	0.26768697171025	0.544571437171418	-0.867762319229774	0.916392925887276	1.69351164762284	0.404738773327298	0.379834356895625	0.119494105418104	1.48601012800109	0.269833007223556	0	0	0	mog.t01	588
5.4560167432589	0.0651964265008314	1.01126843946618	0.946072012965348	0.166366343700657	2.84236693799121	2.57165118278209	0.870998978585584	0.0165582002862147	0.0266601187335031	4.90549592550411	0.0310297530464782	0	0	0	satP.t01	567
5.04946654878719	-0.267240619250048	1.2001260268431	1.46736664609315	-0.510803700395346	2.54248731189502	2.97963189090897	0.619956675893603	0.0280606620550636	0.0130059425193098	5.2005199338063	0.0266794482116809	0	0	0	yaaW.t01	714
4.15603623750558	-0.432469066708948	0.753038440824483	1.18550750753343	-0.827561739642311	1.53974285599498	2.30414557900731	0.426154616720936	0.152920377767605	0.0425566985894743	2.78780788587969	0.106446306291344	0	0	0	yaaI.t01	405
10.5831832346075	1.2389577220213	1.33709536647128	0.098137644449988	6.10761567086563	6.57864756962362	0.484032907570058	8.95186643741552e-05	4.74025039687526e-05	0.638205953164448	26.9386015139507	6.98101032540345e-05	1	1	0	dnaK.t01	1917
7.03992079343841	0.280445209469155	0.841006638941896	0.560561429472741	1.07577208770512	3.66370559162805	2.33695919629274	0.305901389805941	0.00396163513064318	0.0401959490257953	6.67346883252859	0.0133046422819205	0	1	0	dnaJ.t01	1131
7.52562005051713	-0.325772438744711	0.834145941413569	1.15991838015828	-0.704084034632071	2.2230278606222	2.60921292070668	0.49655458706147	0.0489814136112277	0.0249575267696046	4.07063089216761	0.048779620441365	0	0	0	insL1.t01	1113
1.78021077905349	0.0317790715375184	0.778243788116564	0.746464716579046	0.0524650009993875	1.34558129689464	1.25917663947624	0.959133672023818	0.206509069203391	0.234984354002049	1.13282781517531	0.358199967986076	0	0	0	mokC.t01	210
2.36966076139144	-0.293003998649859	0.995374615856619	1.28837861450648	-0.583691131459569	2.1443215003956	2.64538599112994	0.571637021004675	0.0560985719415195	0.0234197018023297	3.97820045182802	0.0514110988601326	0	0	0	hokC.t01	153
-4.67832273599165	0.502906496843646	0.356460803965374	-0.146445692878272	0.706228527572143	0.500575733862344	-0.2056527937098	0.495273538594549	0.626898218384976	0.840957653836006	0.263875956683062	0.772967550758511	0	0	0	sokC.r01	55
6.89049374308836	0.325555548867884	0.737204228215052	0.411648679347168	0.980284942865829	2.45772612668463	1.32689318633287	0.348786161541866	0.0325550116650292	0.212413188253517	2.91815563702843	0.0977975198540826	0	0	0	nhaA.t01	1167
7.21540941236621	0.484308870586101	0.588227874836911	0.10391900425081	2.28061416032583	2.88690188655322	0.511042989806723	0.0443316327267539	0.0153098778356193	0.619794734714041	4.59784817834062	0.0364954032093517	0	0	0	nhaR.t01	906
7.59132268563927	-0.257119963161554	0.543314925275562	0.800434888437116	-0.649588386339911	1.60581640410891	2.05688032017592	0.529780551214875	0.13766138694683	0.065157632547442	2.40607690837808	0.137538097691265	0	0	0	insB1.t01	504
7.03181652242493	-0.0263270654982577	0.755263959237163	0.781591024735421	-0.0763650418830436	2.6072014815238	2.38693513023121	0.94055068618809	0.0250459135958256	0.0368427118750049	4.15715347989149	0.0464602408036775	0	0	0	insA.t01	276
10.3631811186018	-0.537769196445089	-0.724929933095176	-0.187160736650087	-2.38935616835288	-3.22293416862061	-0.830941771267228	0.0366873716491788	0.00849083434587177	0.424325221118348	5.59559648839237	0.0219359789463589	0	0	0	rpsT.t01	264
