gene	BB9	BB10	BB17	BB19	BB20	BB21	BB11	BB12	BB18	reflen
yecE.t01	459.617	351.616	524.28	309.584	300.731	275.462	315.72	398.649	413.97	819
yecF.t01	123.261	142.972	122.156	67.8076	101.964	139.945	99.896	123.771	143.408	225
yecH.t01	130.672	82.5362	87.1044	96.3912	121.7	137.947	106.952	161.119	67.2245	240
yecJ.t01	392.727	460.651	494.943	273.753	313.632	272.294	278.258	187.094	283.631	252
yecM.t01	343.002	315.283	370.965	222.909	316.096	214.859	318.69	324.283	375.203	567
yecN.t01	651.923	691.745	696.14	825.85	892.711	571.072	403.183	255.556	377.333	396
yecR.t01	213.923	189.739	247.064	114.151	151.205	189.863	209.82	123.858	107.026	324
yecS.t01	321.845	233.163	406.042	377.493	400.337	348.696	373.932	342.547	309.006	669
yecT.t01	247.564	232.95	247.246	155.135	244.092	252.431	235.25	368.233	183.133	489
yedA.t01	485.433	451.747	613.802	432.668	446.772	477.967	534.267	516.429	654.556	921
yedD.t01	356.207	405.927	453.462	410.265	321.931	357.057	302.436	325.256	203.914	414
yedE.t01	1431.43	1107.91	1543.73	1156.31	1113.6	1039.56	1226.71	794.595	972.35	1206
yedF.t01	109.523	104.882	150.01	68.2973	54.7139	35.8687	103.45	93.5967	62.2562	234
yedI.t01	432.121	334.708	529.359	433.873	402.816	520.643	476.08	534.615	539.704	918
yedJ.t01	314.175	313.38	376.216	364.469	333.917	355.346	349.188	365.23	316.954	696
yedK.t01	392.274	214.708	409.11	388.69	394.332	323.537	293.641	346.529	268.034	669
yedL.t01	237.904	198.644	192.074	1008.53	834.293	743.693	299.076	275.943	438.462	480
yedP.t01	471.878	337.336	376.529	670.29	842.536	572.968	507.506	565.375	603.765	816
yedQ.t01	1092.99	920.593	1152.13	1558.77	1571.14	1237.7	1288.39	1084.12	1233.39	1695
yedR.t01	153.138	137.909	147.466	148.752	113.482	170.518	118.301	200.631	120.997	366
yedV.t01	1236.04	1153.81	1900.58	1138.42	1142.75	1014.99	1126.37	946.49	915.172	1359
yedW.t01	691.979	804.424	1012.68	770.32	809.35	790.574	469.617	455.535	461.8	672
yedY.t01	482.71	362.524	490.421	426.051	350.411	391.205	518.357	552.936	523.602	1005
yedZ.t01	304.469	224.696	320.166	272.604	221.899	318.302	336.158	425.221	333.32	636
yeeA.t01	759.182	659.54	890.678	3969.6	4166.83	3545	3639.04	1912.2	2823.63	1059
